GESTOR,DEPARTAMENTO,MUNICIPIO,# ZONAS WIFI,NOMBRE DEL SITIO,DIRECCIÓN ,UBICACIÓN,Nueva columna georreferenciada_1
Gobernación,Valle del Cauca,Alcalá,1,Parque la Plazuela,Entre Calle 6 y Kra 8,"(4.673952,-75.785237)","(4.673952, -75.785237)"
Gobernación,Valle del Cauca,Andalucía,1,Parque vicente H Cruz,Kra 4  calles 12 y13,"(4.169385,-76.167136)","(4.169385, -76.167136)"
Gobernación,Valle del Cauca,Andalucía,1,Pista Atlética Carrera entre Calle 20 y 21,Kra 9 calles 20 y 21,"(4.176936,-76.16458)","(4.176936, -76.16458)"
Gobernación,Valle del Cauca,Ansermanuevo,1,Parque principal,Kra 4 calle 6 y 7,"(4.795833,-75.994167)","(4.795833, -75.994167)"
Gobernación,Valle del Cauca,Ansermanuevo,1,Corregimiento gramalote,Calle 2 # 3-03E,"(4.788333,-75.9888888888889)","(4.788333, -75.9888888888889)"
Gobernación,Valle del Cauca,Argelia,1,Parque principal,Kra 6 # 2-44,"(4.727185,-76.121506)","(4.727185, -76.121506)"
Gobernación,Valle del Cauca,Argelia,1,Barrio el triangulo,Calle 4 con carrera 4 No. 4-20,"(4.727283,-76.120418)","(4.727283, -76.120418)"
Gobernación,Valle del Cauca,Bolívar,1,Parque Principal,carrera 4 #7-41,"(4.337245,-76.184361)","(4.337245, -76.184361)"
Gobernación,Valle del Cauca,Bolívar,1,Parque principal corregimiento de la Tulia,3 carrera con calle 3,"(4.384099,-76.24411)","(4.384099, -76.24411)"
Gobernación,Valle del Cauca,Buenaventura,1,Muelle turístico,Carrera 2 y calle 1,"(3.88877,-77.082085)","(3.88877, -77.082085)"
Gobernación,Valle del Cauca,Buenaventura,1,Plazoleta Alcaldía,Calle 2 Carrera 3,"(3.887760,-77.0774)","(3.88776, -77.0774)"
Gobernación,Valle del Cauca,Guadalajara de Buga,1,Parque Alto Bonito,Kra 7E y 8E Calles 12A y 13,"( 3.89964,-76.286252)","(3.89964, -76.286252)"
Gobernación,Valle del Cauca,Guadalajara de Buga,1,Parque la Revolución,Calle 12 No 21-12,"(3.899722,-76.301944)","(3.899722, -76.301944)"
Gobernación,Valle del Cauca,Guadalajara de Buga,1,Parque Fuenmayor,Carrera 9 entre calles 17 y 18,"( 3.906944,-76.293333)","(3.906944, -76.293333)"
Gobernación,Valle del Cauca,Bugalagrande,1,Parque barrio cocicoimpa,Calle 1 sur con Cra 7 sur,"(4.201944,-76.160278)","(4.201944, -76.160278)"
Gobernación,Valle del Cauca,Bugalagrande,1,Parque barrio San Bernabé,Calle 6 Cra 7,"( 4.213339,-76.157222)","(4.213339, -76.157222)"
Gobernación,Valle del Cauca,Bugalagrande,1,Parque la Maria II Etapa,Calle 9 sur Cra 7 sur,"( 4.199167,-76.161389)","(4.199167, -76.161389)"
Gobernación,Valle del Cauca,Caicedonia,1,Parque el Carmen,Calle 8 y 9 con carrera 15,"( 4.331144,-75.828956)","(4.331144, -75.828956)"
Gobernación,Valle del Cauca,Caicedonia,1,Parque Gutierrez y Arango,Calle 12 y 13 con carrera 25,"(4.334919,-75.828558)","(4.334919, -75.828558)"
Gobernación,Valle del Cauca,Cali,1,Plaza de San Francisco,Cra 6 entre calle 9 y 10,"(3.449444,-76.53333)","(3.449444, -76.53333)"
Gobernación,Valle del Cauca,Cali,1,Parque Escuela de Bellas Artes,Avenida 2 norte # 7N - 66,"(3.453474,-76.536550)","(3.453474, -76.53655)"
Gobernación,Valle del Cauca,Calima,1,Parque principal,Calle 10 con carrera 6 y7,"( 3.9316667,-76.4838888)","(3.9316667, -76.4838888)"
Gobernación,Valle del Cauca,Calima,1,Museo Arqueológico,Calle 10 # 12-50,"(3.933517,-76.488568)","(3.933517, -76.488568)"
Gobernación,Valle del Cauca,Candelaria,1,Parque principal casco Urbano,Calles 9 y 10 entre Cra 7 y 8,"( 3.409217,-76.347053)","(3.409217, -76.347053)"
Gobernación,Valle del Cauca,Candelaria,1,Poblado campestre,Entre calle 20 y 20B y Carrera 39 y 39B,"(3.410798,-76.458317)","(3.410798, -76.458317)"
Gobernación,Valle del Cauca,Cartago,1,Plaza de Mercado,Cra 6 entre calles 11 y 13,"(3.410798,-75.915918)","(3.410798, -75.915918)"
Gobernación,Valle del Cauca,Cartago,1,Parque de Guadalupe ( iglesia),Cra 4y 5 entre calle 8 y 9,"( 4.747975,-75.908183)","(4.747975, -75.908183)"
Gobernación,Valle del Cauca,Cartago,1,peatonal de la calle casa del virrey,Calle 13 entre carrera 4 y 5,"( 4.74945,-75.9149)","(4.74945, -75.9149)"
Gobernación,Valle del Cauca,Dagua,1,Parque Ricaute,Calle 9 con calle 22,"(3.6561,-76.6867)","(3.6561, -76.6867)"
Gobernación,Valle del Cauca,Dagua,1,Parque El llanito,Cra 13 entre calle 6 y 7,"(3.6594444,-76.6913888)","(3.6594444, -76.6913888)"
Gobernación,Valle del Cauca,El Águila,1,Barrio Asprodica,Cra 6 entre calles 11 y 13 Barrio Asprodica,"( 4.899722,-76.045)","(4.899722, -76.045)"
Gobernación,Valle del Cauca,El Cairo,1,Parque principal,Cra 5 con calle 8 esquina,"(4.761762,-76.2207101)","(4.761762, -76.2207101)"
Gobernación,Valle del Cauca,El Cairo,1,Hostal el Cairo,Cra 3 con calle 9 No. 9-10,"(4.761295,-76.2202095)","(4.761295, -76.2202095)"
Gobernación,Valle del Cauca,El cerrito,1,Brisas de la merced ( teatrino marina Arango),Calle 1a sur  y carrera 12,"(  3.681166,-76.312816)","(3.681166, -76.312816)"
Gobernación,Valle del Cauca,El cerrito,1,Parque el placer (corregimiento),Calle 7 entre carreras 6 y 7,"( 3.602500,-76.2686)","(3.6025, -76.2686)"
Gobernación,Valle del Cauca,El Dovio,1,El Ceres El Dovio,Cra 7 No.  7-80 barrio Nicolás Borrero,"(4.510633,-76.238988)","(4.510633, -76.238988)"
